date;h1-hosp;h1-rea
22-03-2020;6954;1674
29-03-2020;19311;4592
05-04-2020;28747;6859
12-04-2020;31665;6714
19-04-2020;30486;5644
26-04-2020;28114;4598
03-05-2020;25739;3762
10-05-2020;22502;2728
17-05-2020;19302;2047
24-05-2020;17129;1618
31-05-2020;14271;1287
07-06-2020;12415;1024
14-06-2020;10836;841
21-06-2020;9778;687
28-06-2020;8727;594
05-07-2020;7863;521
12-07-2020;6991;473
19-07-2020;6583;448
26-07-2020;5640;367
02-08-2020;5188;345
09-08-2020;4992;368
16-08-2020;4820;353
23-08-2020;4683;371
30-08-2020;4517;396
06-09-2020;4697;480
13-09-2020;5228;662
20-09-2020;5356;834
27-09-2020;6235;1112
04-10-2020;6964;1335
11-10-2020;8231;1483
18-10-2020;10897;1939
25-10-2020;16454;2575
01-11-2020;24008;3569
08-11-2020;30217;4527
15-11-2020;33050;4880
22-11-2020;31522;4491
29-11-2020;28284;3744
06-12-2020;26262;3210
13-12-2020;25207;2861
20-12-2020;24961;2745
27-12-2020;24620;2650
03-01-2021;24780;2665
10-01-2021;24526;2620
17-01-2021;25235;2766
24-01-2021;26357;2955
31-01-2021;27573;3148
07-02-2021;27652;3262
14-02-2021;26401;3299
21-02-2021;25464;3392
28-02-2021;25280;3492
07-03-2021;24818;3743
14-03-2021;24989;4127
21-03-2021;25926;4406
28-03-2021;27712;4872
04-04-2021;29356;5341
11-04-2021;30671;5838
18-04-2021;30789;5893
25-04-2021;30287;5978
02-05-2021;28818;5585
09-05-2021;25797;4971
16-05-2021;22963;4255
23-05-2021;19720;3515
30-05-2021;16775;2993
06-06-2021;14525;2527
