date;h1-dc solde
22-03-2020;
29-03-2020;1974
05-04-2020;3283
12-04-2020;3364
19-04-2020;2808
26-04-2020;2130
03-05-2020;1373
10-05-2020;1059
17-05-2020;824
24-05-2020;556
31-05-2020;452
07-06-2020;330
14-06-2020;218
21-06-2020;160
28-06-2020;124
05-07-2020;103
12-07-2020;125
19-07-2020;85
26-07-2020;65
02-08-2020;72
09-08-2020;63
16-08-2020;85
23-08-2020;96
30-08-2020;94
06-09-2020;126
13-09-2020;176
20-09-2020;324
27-09-2020;336
04-10-2020;388
11-10-2020;449
18-10-2020;667
25-10-2020;1070
01-11-2020;1733
08-11-2020;2562
15-11-2020;2879
22-11-2020;2636
29-11-2020;2477
06-12-2020;2072
13-12-2020;1979
20-12-2020;1800
27-12-2020;1776
03-01-2021;1706
10-01-2021;1877
17-01-2021;1790
24-01-2021;2149
31-01-2021;2281
07-02-2021;2228
14-02-2021;2233
21-02-2021;2011
28-02-2021;1772
07-03-2021;1828
14-03-2021;1718
21-03-2021;1755
28-03-2021;1724
04-04-2021;1977
11-04-2021;2052
