date;1-Ain;2-Aisne;3-Allier;4-Alpes-de-Haute-Provence;5-Hautes-Alpes;6-Alpes-Maritimes;7-Ardèche;8-Ardennes;9-Ariège;10-Aube;11-Aude;12-Aveyron;13-Bouches-du-Rhône;14-Calvados;15-Cantal;16-Charente;17-Charente-Maritime;18-Cher;19-Corrèze;21-Côte-d'Or;22-Côtes d'Armor;23-Creuse;24-Dordogne;25-Doubs;26-Drôme;27-Eure;28-Eure-et-Loir;29-Finistère;2A-Corse-du-Sud;2B-Haute-Corse;30-Gard;31-Haute-Garonne;32-Gers;33-Gironde;34-Hérault;35-Ille-et-Vilaine;36-Indre;37-Indre-et-Loire;38-Isère;39-Jura;40-Landes;41-Loir-et-Cher;42-Loire;43-Haute-Loire;44-Loire-Atlantique;45-Loiret;46-Lot;47-Lot-et-Garonne;48-Lozère;49-Maine-et-Loire;50-Manche;51-Marne;52-Haute-Marne;53-Mayenne;54-Meurthe-et-Moselle;55-Meuse;56-Morbihan;57-Moselle;58-Nièvre;59-Nord;60-Oise;61-Orne;62-Pas-de-Calais;63-Puy-de-Dôme;64-Pyrénées-Atlantiques;65-Hautes-Pyrénées;66-Pyrénées-Orientales;67-Bas-Rhin;68-Haut-Rhin;69-Rhône;70-Haute-Saône;71-Saône-et-Loire;72-Sarthe;73-Savoie;74-Haute-Savoie;75-Paris;76-Seine-Maritime;77-Seine-et-Marne;78-Yvelines;79-Deux-Sèvres;80-Somme;81-Tarn;82-Tarn-et-Garonne;83-Var;84-Vaucluse;85-Vendée;86-Vienne;87-Haute-Vienne;88-Vosges;89-Yonne;90-Territoire de Belfort;91-Essonne;92-Hauts-de-Seine;93-Seine-St-Denis;94-Val-de-Marne;95-Val-D'Oise;971-Guadeloupe;972-Martinique;973-Guyane;974-La Réunion;976-Mayotte
22-03-2020;8;69;5;4;14;45;22;4;2;21;27;13;247;11;5;5;12;0;4;101;7;1;6;63;46;12;15;19;58;6;13;55;4;54;66;27;5;13;36;8;0;4;98;5;50;37;1;15;2;22;19;92;13;9;105;60;77;332;1;96;147;4;49;4;15;6;60;463;538;326;26;65;11;22;64;728;72;127;206;8;124;10;3;56;22;7;13;13;62;13;68;196;378;263;306;281;6;19;0;2;0
29-03-2020;55;136;23;12;39;112;66;30;9;65;68;34;705;93;8;30;46;18;32;218;36;6;11;148;183;37;98;50;91;7;39;185;20;237;234;84;40;58;140;37;11;29;374;14;158;115;5;27;9;117;37;260;53;54;325;131;98;809;9;446;259;25;168;51;52;25;126;884;999;907;66;184;97;82;212;2115;263;418;559;23;228;38;4;156;49;73;34;49;179;40;171;528;1169;758;961;584;44;57;0;53;0
05-04-2020;112;221;45;31;59;219;93;73;18;148;95;56;1095;142;26;17;79;49;42;259;70;12;26;183;251;68;174;82;78;17;89;226;29;305;257;136;65;166;222;78;22;66;467;25;250;231;15;31;8;161;75;391;99;74;488;157;135;1018;34;828;358;67;363;80;77;52;102;1078;1019;1250;80;173;108;118;294;3075;358;709;909;29;349;61;16;238;80;74;56;66;268;101;212;931;1950;1338;1729;833;36;54;7;44;17
12-04-2020;118;283;58;34;49;270;102;79;16;239;81;56;1133;162;28;14;86;68;48;344;73;33;26;213;236;94;219;123;70;4;95;244;28;299;183;182;82;194;248;117;24;96;493;32;295;284;20;30;6;220;72;383;99;69;496;144;132;1050;56;950;463;73;440;76;93;84;79;1102;1027;1241;85;175;151;108;285;3249;315;811;1063;35;348;44;18;265;79;75;67;77;268;84;220;1230;2024;1638;2231;919;38;38;15;28;22
19-04-2020;172;275;57;38;38;279;111;67;13;268;70;64;1048;145;27;13;84;83;66;367;65;32;54;190;174;96;257;101;64;11;118;195;45;293;174;177;98;168;245;136;30;109;479;36;285;255;23;33;5;202;77;352;86;91;441;155;118;1006;59;927;508;70;473;67;78;77;33;1008;957;1243;96;202;141;90;282;2939;278;774;894;34;356;45;15;307;66;68;51;57;268;94;183;1194;1982;1568;2213;910;34;37;5;17;25
26-04-2020;165;295;55;29;41;258;101;53;11;229;55;45;997;149;21;9;69;90;75;285;51;29;33;179;144;115;229;75;54;10;127;150;42;248;124;157;118;165;213;104;26;126;414;39;253;245;23;32;2;174;52;334;79;85;452;131;125;890;51;898;463;66;436;48;64;76;23;910;936;1189;113;224;150;83;222;2554;226;689;835;30;303;38;12;289;79;49;47;48;232;113;149;1198;1890;1491;1971;942;23;32;1;6;34
03-05-2020;159;278;44;25;38;200;143;47;7;220;44;26;932;148;28;3;60;91;76;276;52;23;23;156;102;117;218;58;47;9;128;125;28;212;106;136;130;162;166;98;22;142;394;30;214;249;15;30;2;156;54;328;69;81;362;140;123;748;49;863;415;66;413;42;45;65;14;837;834;1104;100;229;129;69;201;2177;190;653;797;16;255;38;12;236;72;49;45;37;213;106;129;1178;1738;1429;1830;883;16;21;2;4;38
10-05-2020;134;242;36;17;35;209;134;53;3;115;20;23;786;150;20;3;50;75;67;218;51;22;24;124;81;104;210;56;46;5;96;112;21;174;65;112;107;145;151;74;17;137;342;23;186;197;13;23;0;145;54;306;95;68;298;146;108;644;41;756;380;61;365;27;35;44;9;763;763;928;80;207;131;54;186;1803;161;562;736;12;228;26;8;224;50;42;28;38;143;113;143;965;1553;1341;1598;815;14;19;6;13;59
17-05-2020;133;191;18;19;29;162;97;50;3;106;24;16;717;128;20;6;39;58;58;119;54;17;18;108;72;94;179;37;36;6;84;82;14;167;42;84;99;125;127;64;12;129;282;18;148;161;10;23;1;146;47;189;84;39;220;158;87;565;38;689;376;52;318;33;30;39;5;657;684;779;78;181;119;49;154;1536;149;509;628;11;192;22;6;163;31;48;17;30;93;109;113;885;1360;1126;1368;696;14;19;9;12;54
24-05-2020;111;179;22;16;27;133;79;70;3;96;22;13;650;112;19;7;33;59;52;99;45;21;15;76;56;89;174;28;29;5;69;71;9;146;45;94;94;105;105;55;10;120;235;17;138;137;9;18;1;117;48;170;73;35;186;119;65;499;23;646;341;50;286;29;24;21;2;585;632;684;72;161;98;43;125;1221;136;458;611;13;160;21;7;157;30;56;21;18;75;99;71;760;1235;1061;1255;604;13;18;17;12;48
