date;0-9 ans;10-19 ans;20-29 ans;30-39 ans;40-49 ans;50-59 ans;60-69 ans;70-79 ans;80-89 ans;>=90 ans
22-03-2020;3;3;17;72;142;338;471;518;153;8
29-03-2020;8;8;44;156;367;991;1420;1293;240;7
05-04-2020;25;18;63;218;584;1505;2231;1840;288;15
12-04-2020;18;20;56;213;537;1433;2249;1820;285;15
19-04-2020;24;18;52;174;438;1138;1832;1630;285;24
26-04-2020;20;19;49;119;336;909;1486;1341;250;28
03-05-2020;22;26;51;92;274;723;1213;1087;220;25
10-05-2020;12;18;29;66;195;533;864;806;162;21
17-05-2020;8;13;28;49;145;395;639;608;130;21
24-05-2020;9;14;26;40;106;301;505;488;108;11
31-05-2020;7;8;24;32;87;236;401;394;78;13
07-06-2020;8;6;19;24;73;194;317;307;62;8
14-06-2020;5;6;17;29;55;160;251;246;60;7
21-06-2020;1;6;15;24;43;123;220;193;51;8
28-06-2020;1;5;12;23;42;114;193;150;45;6
05-07-2020;2;4;12;20;35;100;170;129;39;6
12-07-2020;4;2;8;23;31;97;132;126;40;7
19-07-2020;4;3;10;20;26;95;127;112;41;6
26-07-2020;3;1;4;16;27;66;107;99;36;5
02-08-2020;3;1;3;15;21;57;106;94;37;5
09-08-2020;6;3;4;18;17;58;119;98;37;6
16-08-2020;5;1;6;15;21;50;111;100;39;4
23-08-2020;4;2;6;19;27;56;104;103;43;6
30-08-2020;6;1;4;13;27;63;112;116;49;3
06-09-2020;6;3;7;18;39;71;143;134;56;2
13-09-2020;4;1;7;24;46;117;190;187;80;2
20-09-2020;6;1;7;12;47;131;246;259;110;10
27-09-2020;8;1;12;30;68;146;326;359;138;15
04-10-2020;5;4;13;34;79;173;391;442;164;19
11-10-2020;4;4;9;40;95;200;432;495;176;17
18-10-2020;10;8;7;46;101;249;539;691;251;29
25-10-2020;15;9;12;63;129;322;769;882;325;35
01-11-2020;17;6;16;75;180;449;1119;1273;371;32
08-11-2020;17;7;27;78;237;589;1431;1638;434;36
15-11-2020;14;9;28;94;229;636;1573;1807;436;24
22-11-2020;11;11;25;78;193;585;1417;1670;433;38
29-11-2020;5;15;19;61;178;484;1180;1389;351;32
06-12-2020;7;13;20;67;159;413;1032;1176;275;24
13-12-2020;2;13;16;54;133;397;906;1020;262;33
20-12-2020;8;13;10;46;124;379;833;1011;267;30
27-12-2020;4;11;17;46;144;364;807;929;272;32
03-01-2021;4;8;16;48;128;345;824;921;310;37
10-01-2021;4;9;17;40;126;346;791;947;278;32
17-01-2021;5;5;19;42;125;360;875;976;302;32
24-01-2021;2;10;23;50;152;405;896;1053;307;26
31-01-2021;2;11;25;50;154;454;934;1121;324;41
07-02-2021;4;7;24;65;162;469;1012;1149;304;34
14-02-2021;6;6;36;64;173;462;1024;1165;309;28
21-02-2021;6;8;38;81;194;540;1066;1130;272;27
28-02-2021;7;8;34;99;234;554;1084;1139;274;24
07-03-2021;5;11;34;94;234;623;1211;1187;287;26
14-03-2021;2;9;36;104;292;693;1296;1356;283;26
21-03-2021;6;10;40;122;293;755;1430;1384;296;33
28-03-2021;5;9;40;133;357;805;1621;1514;307;38
04-04-2021;5;8;44;171;400;941;1761;1604;324;34
11-04-2021;2;9;50;185;475;1107;1937;1671;322;30
18-04-2021;7;9;56;177;473;1141;1984;1650;302;41
25-04-2021;9;15;62;179;513;1207;1983;1651;285;31
02-05-2021;9;15;52;172;483;1120;1867;1549;249;24
09-05-2021;9;17;66;153;439;996;1685;1330;215;25
16-05-2021;7;16;47;132;349;866;1485;1128;180;18
23-05-2021;10;8;49;110;273;715;1240;920;155;19
30-05-2021;5;11;39;97;251;612;1024;797;125;14
06-06-2021;4;6;30;81;206;549;863;669;100;7
13-06-2021;2;5;26;69;168;454;722;560;80;11
20-06-2021;5;6;20;51;141;366;586;447;65;10
27-06-2021;3;6;13;45;116;267;471;359;53;5
04-07-2021;2;5;14;40;107;214;361;304;48;4
11-07-2021;3;4;15;42;89;195;305;246;42;3
18-07-2021;3;3;11;46;76;191;285;222;47;4
