name;category;date;y;z;color
0-9 ans;tests positifs / réalisés;17-05-2020;12;1,02;"#f1c40f"
0-9 ans;tests positifs / réalisés;24-05-2020;15;1,06;"#F0B813"
0-9 ans;tests positifs / réalisés;31-05-2020;9;0,98;"#F0B813"
0-9 ans;tests positifs / réalisés;07-06-2020;18;1,08;"#F0B813"
0-9 ans;tests positifs / réalisés;14-06-2020;30;1,72;"#F0B813"
0-9 ans;tests positifs / réalisés;21-06-2020;33;1,89;"#EEA918"
0-9 ans;tests positifs / réalisés;28-06-2020;24;1,2;"#EEA918"
0-9 ans;tests positifs / réalisés;05-07-2020;0;0,74;"#EEA918"
0-9 ans;tests positifs / réalisés;12-07-2020;3;0,75;"#ED9D1D"
0-9 ans;tests positifs / réalisés;19-07-2020;6;0,96;"#ED9D1D"
0-9 ans;tests positifs / réalisés;26-07-2020;21;1,16;"#ED9D1D"
0-9 ans;tests positifs / réalisés;02-08-2020;27;1,34;"#ED9D1D"
0-9 ans;tests positifs / réalisés;09-08-2020;36;1,99;"#EC9221"
0-9 ans;tests positifs / réalisés;16-08-2020;42;2,47;"#EC9221"
0-9 ans;tests positifs / réalisés;23-08-2020;52;2,97;"#EC9221"
0-9 ans;tests positifs / réalisés;30-08-2020;55;3,69;"#EB8626"
0-9 ans;tests positifs / réalisés;06-09-2020;58;4,06;"#EB8626"
0-9 ans;tests positifs / réalisés;13-09-2020;39;2,39;"#EB8626"
0-9 ans;tests positifs / réalisés;20-09-2020;45;2,78;"#EB8626"
0-9 ans;tests positifs / réalisés;27-09-2020;64;4,34;"#EA7A2A"
0-9 ans;tests positifs / réalisés;04-10-2020;67;5,89;"#EA7A2A"
0-9 ans;tests positifs / réalisés;11-10-2020;82;7,99;"#EA7A2A"
0-9 ans;tests positifs / réalisés;18-10-2020;85;8,15;"#EA7A2A"
0-9 ans;tests positifs / réalisés;25-10-2020;91;10,05;"#E96F2E"
0-9 ans;tests positifs / réalisés;01-11-2020;97;12,74;"#E96F2E"
0-9 ans;tests positifs / réalisés;08-11-2020;100;13,14;"#E96F2E"
0-9 ans;tests positifs / réalisés;15-11-2020;94;10,7;"#E86333"
0-9 ans;tests positifs / réalisés;22-11-2020;88;9,08;"#E86333"
0-9 ans;tests positifs / réalisés;29-11-2020;70;7,1;"#E86333"
0-9 ans;tests positifs / réalisés;06-12-2020;79;7,76;"#E86333"
0-9 ans;tests positifs / réalisés;13-12-2020;73;7,17;"#E75737"
0-9 ans;tests positifs / réalisés;20-12-2020;61;4,32;"#E75737"
0-9 ans;tests positifs / réalisés;27-12-2020;48;2,81;"#ffffff"
0-9 ans;tests positifs / réalisés;03-01-2021;76;7,51;"#3498db"
10-19 ans;tests positifs / réalisés;17-05-2020;27;1,82;"#f1c40f"
10-19 ans;tests positifs / réalisés;24-05-2020;30;1,97;"#F0B813"
10-19 ans;tests positifs / réalisés;31-05-2020;15;1,67;"#F0B813"
10-19 ans;tests positifs / réalisés;07-06-2020;9;1,42;"#F0B813"
10-19 ans;tests positifs / réalisés;14-06-2020;21;1,76;"#F0B813"
10-19 ans;tests positifs / réalisés;21-06-2020;33;2,1;"#EEA918"
10-19 ans;tests positifs / réalisés;28-06-2020;24;1,77;"#EEA918"
10-19 ans;tests positifs / réalisés;05-07-2020;0;1,27;"#EEA918"
10-19 ans;tests positifs / réalisés;12-07-2020;6;1,31;"#ED9D1D"
10-19 ans;tests positifs / réalisés;19-07-2020;3;1,29;"#ED9D1D"
10-19 ans;tests positifs / réalisés;26-07-2020;12;1,56;"#ED9D1D"
10-19 ans;tests positifs / réalisés;02-08-2020;18;1,73;"#ED9D1D"
10-19 ans;tests positifs / réalisés;09-08-2020;36;2,19;"#EC9221"
