name;category;date;y;z;color
0-9 ans;tests positifs / réalisés;17-05-2020;8;1,02;"#f1c40f"
0-9 ans;tests positifs / réalisés;24-05-2020;8;1,06;"#f1c40f"
0-9 ans;tests positifs / réalisés;31-05-2020;7;0,98;"#F0B813"
0-9 ans;tests positifs / réalisés;07-06-2020;8;1,08;"#F0B813"
0-9 ans;tests positifs / réalisés;14-06-2020;13;1,72;"#F0B813"
0-9 ans;tests positifs / réalisés;21-06-2020;14;1,89;"#F0B813"
0-9 ans;tests positifs / réalisés;28-06-2020;9;1,2;"#EEA918"
0-9 ans;tests positifs / réalisés;05-07-2020;6;0,74;"#EEA918"
0-9 ans;tests positifs / réalisés;12-07-2020;6;0,75;"#EEA918"
0-9 ans;tests positifs / réalisés;19-07-2020;7;0,96;"#EEA918"
0-9 ans;tests positifs / réalisés;26-07-2020;9;1,16;"#EEA918"
0-9 ans;tests positifs / réalisés;02-08-2020;10;1,34;"#ED9D1D"
0-9 ans;tests positifs / réalisés;09-08-2020;15;1,99;"#ED9D1D"
0-9 ans;tests positifs / réalisés;16-08-2020;19;2,47;"#ED9D1D"
0-9 ans;tests positifs / réalisés;23-08-2020;23;2,97;"#ED9D1D"
0-9 ans;tests positifs / réalisés;30-08-2020;28;3,69;"#EC9221"
0-9 ans;tests positifs / réalisés;06-09-2020;31;4,06;"#EC9221"
0-9 ans;tests positifs / réalisés;13-09-2020;18;2,39;"#EC9221"
0-9 ans;tests positifs / réalisés;20-09-2020;21;2,78;"#EC9221"
0-9 ans;tests positifs / réalisés;27-09-2020;33;4,34;"#EC9221"
0-9 ans;tests positifs / réalisés;04-10-2020;45;5,89;"#EB8626"
0-9 ans;tests positifs / réalisés;11-10-2020;61;7,99;"#EB8626"
0-9 ans;tests positifs / réalisés;18-10-2020;62;8,15;"#EB8626"
0-9 ans;tests positifs / réalisés;25-10-2020;76;10,05;"#EB8626"
0-9 ans;tests positifs / réalisés;01-11-2020;97;12,74;"#EA7A2A"
0-9 ans;tests positifs / réalisés;08-11-2020;100;13,14;"#EA7A2A"
0-9 ans;tests positifs / réalisés;15-11-2020;81;10,7;"#EA7A2A"
0-9 ans;tests positifs / réalisés;22-11-2020;69;9,08;"#EA7A2A"
0-9 ans;tests positifs / réalisés;29-11-2020;54;7,1;"#EA7A2A"
0-9 ans;tests positifs / réalisés;06-12-2020;59;7,76;"#E96F2E"
0-9 ans;tests positifs / réalisés;13-12-2020;55;7,17;"#E96F2E"
0-9 ans;tests positifs / réalisés;20-12-2020;33;4,32;"#E96F2E"
0-9 ans;tests positifs / réalisés;27-12-2020;21;2,8;"#E96F2E"
0-9 ans;tests positifs / réalisés;03-01-2021;57;7,49;"#E86333"
0-9 ans;tests positifs / réalisés;10-01-2021;75;9,88;"#E86333"
0-9 ans;tests positifs / réalisés;17-01-2021;63;8,22;"#E86333"
0-9 ans;tests positifs / réalisés;24-01-2021;61;8,01;"#E86333"
0-9 ans;tests positifs / réalisés;31-01-2021;55;7,26;"#E86333"
0-9 ans;tests positifs / réalisés;07-02-2021;48;6,29;"#E75737"
0-9 ans;tests positifs / réalisés;14-02-2021;41;5,35;"#E75737"
0-9 ans;tests positifs / réalisés;21-02-2021;44;5,73;"#E75737"
0-9 ans;tests positifs / réalisés;28-02-2021;62;8,09;"#ffffff"
0-9 ans;tests positifs / réalisés;07-03-2021;60;7,89;"#3498db"
10-19 ans;tests positifs / réalisés;17-05-2020;11;1,82;"#f1c40f"
10-19 ans;tests positifs / réalisés;24-05-2020;12;1,97;"#f1c40f"
10-19 ans;tests positifs / réalisés;31-05-2020;10;1,67;"#F0B813"
10-19 ans;tests positifs / réalisés;07-06-2020;9;1,42;"#F0B813"
10-19 ans;tests positifs / réalisés;14-06-2020;11;1,76;"#F0B813"
10-19 ans;tests positifs / réalisés;21-06-2020;13;2,1;"#F0B813"
10-19 ans;tests positifs / réalisés;28-06-2020;11;1,77;"#EEA918"
10-19 ans;tests positifs / réalisés;05-07-2020;8;1,27;"#EEA918"
10-19 ans;tests positifs / réalisés;12-07-2020;8;1,31;"#EEA918"
10-19 ans;tests positifs / réalisés;19-07-2020;8;1,29;"#EEA918"
10-19 ans;tests positifs / réalisés;26-07-2020;9;1,56;"#EEA918"
10-19 ans;tests positifs / réalisés;02-08-2020;10;1,73;"#ED9D1D"
10-19 ans;tests positifs / réalisés;09-08-2020;13;2,19;"#ED9D1D"
10-19 ans;tests positifs / réalisés;16-08-2020;19;3,08;"#ED9D1D"
10-19 ans;tests positifs / réalisés;23-08-2020;22;3,63;"#ED9D1D"
10-19 ans;tests positifs / réalisés;30-08-2020;27;4,52;"#EC9221"
10-19 ans;tests positifs / réalisés;06-09-2020;40;6,59;"#EC9221"
10-19 ans;tests positifs / réalisés;13-09-2020;33;5,49;"#EC9221"
10-19 ans;tests positifs / réalisés;20-09-2020;31;5,2;"#EC9221"
10-19 ans;tests positifs / réalisés;27-09-2020;36;5,94;"#EC9221"
10-19 ans;tests positifs / réalisés;04-10-2020;42;6,89;"#EB8626"
10-19 ans;tests positifs / réalisés;11-10-2020;52;8,61;"#EB8626"
10-19 ans;tests positifs / réalisés;18-10-2020;54;8,97;"#EB8626"
10-19 ans;tests positifs / réalisés;25-10-2020;76;12,58;"#EB8626"
10-19 ans;tests positifs / réalisés;01-11-2020;100;16,51;"#EA7A2A"
10-19 ans;tests positifs / réalisés;08-11-2020;93;15,3;"#EA7A2A"
10-19 ans;tests positifs / réalisés;15-11-2020;63;10,46;"#EA7A2A"
10-19 ans;tests positifs / réalisés;22-11-2020;51;8,43;"#EA7A2A"
10-19 ans;tests positifs / réalisés;29-11-2020;44;7,24;"#EA7A2A"
10-19 ans;tests positifs / réalisés;06-12-2020;45;7,35;"#E96F2E"
10-19 ans;tests positifs / réalisés;13-12-2020;43;7,1;"#E96F2E"
10-19 ans;tests positifs / réalisés;20-12-2020;25;4,11;"#E96F2E"
10-19 ans;tests positifs / réalisés;27-12-2020;16;2,72;"#E96F2E"
10-19 ans;tests positifs / réalisés;03-01-2021;36;5,9;"#E86333"
10-19 ans;tests positifs / réalisés;10-01-2021;51;8,36;"#E86333"
10-19 ans;tests positifs / réalisés;17-01-2021;45;7,38;"#E86333"
10-19 ans;tests positifs / réalisés;24-01-2021;45;7,48;"#E86333"
10-19 ans;tests positifs / réalisés;31-01-2021;41;6,69;"#E86333"
10-19 ans;tests positifs / réalisés;07-02-2021;37;6,09;"#E75737"
10-19 ans;tests positifs / réalisés;14-02-2021;34;5,55;"#E75737"
10-19 ans;tests positifs / réalisés;21-02-2021;38;6,26;"#E75737"
10-19 ans;tests positifs / réalisés;28-02-2021;51;8,42;"#ffffff"
10-19 ans;tests positifs / réalisés;07-03-2021;52;8,54;"#3498db"
20-29 ans;tests positifs / réalisés;17-05-2020;15;2,21;"#f1c40f"
20-29 ans;tests positifs / réalisés;24-05-2020;12;1,81;"#f1c40f"
20-29 ans;tests positifs / réalisés;31-05-2020;12;1,72;"#F0B813"
20-29 ans;tests positifs / réalisés;07-06-2020;11;1,67;"#F0B813"
20-29 ans;tests positifs / réalisés;14-06-2020;12;1,78;"#F0B813"
20-29 ans;tests positifs / réalisés;21-06-2020;14;2,02;"#F0B813"
20-29 ans;tests positifs / réalisés;28-06-2020;14;2,04;"#EEA918"
20-29 ans;tests positifs / réalisés;05-07-2020;12;1,69;"#EEA918"
20-29 ans;tests positifs / réalisés;12-07-2020;10;1,51;"#EEA918"
20-29 ans;tests positifs / réalisés;19-07-2020;10;1,43;"#EEA918"
20-29 ans;tests positifs / réalisés;26-07-2020;13;1,85;"#EEA918"
20-29 ans;tests positifs / réalisés;02-08-2020;16;2,34;"#ED9D1D"
20-29 ans;tests positifs / réalisés;09-08-2020;21;3,1;"#ED9D1D"
20-29 ans;tests positifs / réalisés;16-08-2020;30;4,29;"#ED9D1D"
20-29 ans;tests positifs / réalisés;23-08-2020;37;5,41;"#ED9D1D"
20-29 ans;tests positifs / réalisés;30-08-2020;42;6,15;"#EC9221"
