name;category;date;y;z;color
0-9 ans;tests positifs / réalisés;17-05-2020;1,03;63;"#f1c40f"
0-9 ans;tests positifs / réalisés;24-05-2020;1,08;125;"#F0B813"
0-9 ans;tests positifs / réalisés;31-05-2020;0,95;129;"#F0B813"
0-9 ans;tests positifs / réalisés;07-06-2020;1,04;108;"#F0B813"
0-9 ans;tests positifs / réalisés;14-06-2020;1,74;192;"#EEA918"
0-9 ans;tests positifs / réalisés;21-06-2020;1,94;223;"#EEA918"
0-9 ans;tests positifs / réalisés;28-06-2020;1,24;212;"#EEA918"
0-9 ans;tests positifs / réalisés;05-07-2020;0,76;247;"#ED9D1D"
0-9 ans;tests positifs / réalisés;12-07-2020;0,77;268;"#ED9D1D"
0-9 ans;tests positifs / réalisés;19-07-2020;1;260;"#ED9D1D"
0-9 ans;tests positifs / réalisés;26-07-2020;1,21;330;"#EC9221"
0-9 ans;tests positifs / réalisés;02-08-2020;1,41;364;"#EC9221"
0-9 ans;tests positifs / réalisés;09-08-2020;2,11;490;"#EC9221"
0-9 ans;tests positifs / réalisés;16-08-2020;2,66;592;"#EB8626"
0-9 ans;tests positifs / réalisés;23-08-2020;3,2;823;"#EB8626"
0-9 ans;tests positifs / réalisés;30-08-2020;4,01;1236;"#EB8626"
0-9 ans;tests positifs / réalisés;06-09-2020;4,38;1908;"#EA7A2A"
0-9 ans;tests positifs / réalisés;13-09-2020;2,54;2975;"#EA7A2A"
0-9 ans;tests positifs / réalisés;20-09-2020;3;2746;"#EA7A2A"
0-9 ans;tests positifs / réalisés;27-09-2020;4,87;1797;"#E96F2E"
0-9 ans;tests positifs / réalisés;04-10-2020;6,77;1719;"#E96F2E"
0-9 ans;tests positifs / réalisés;11-10-2020;9,23;2766;"#E96F2E"
0-9 ans;tests positifs / réalisés;18-10-2020;9,5;3839;"#E86333"
0-9 ans;tests positifs / réalisés;25-10-2020;11,89;5200;"#E86333"
0-9 ans;tests positifs / réalisés;01-11-2020;15,27;7288;"#E86333"
0-9 ans;tests positifs / réalisés;08-11-2020;15,96;8813;"#E75737"
0-9 ans;tests positifs / réalisés;15-11-2020;13,67;5685;"#E75737"
0-9 ans;tests positifs / réalisés;22-11-2020;11,98;4018;"#ffffff"
0-9 ans;tests positifs / réalisés;29-11-2020;9,24;2275;"#3498db"
10-19 ans;tests positifs / réalisés;17-05-2020;1,86;128;"#f1c40f"
10-19 ans;tests positifs / réalisés;24-05-2020;2;247;"#F0B813"
10-19 ans;tests positifs / réalisés;31-05-2020;1,7;273;"#F0B813"
10-19 ans;tests positifs / réalisés;07-06-2020;1,41;183;"#F0B813"
10-19 ans;tests positifs / réalisés;14-06-2020;1,76;254;"#EEA918"
10-19 ans;tests positifs / réalisés;21-06-2020;2,22;338;"#EEA918"
10-19 ans;tests positifs / réalisés;28-06-2020;1,87;370;"#EEA918"
10-19 ans;tests positifs / réalisés;05-07-2020;1,35;386;"#ED9D1D"
10-19 ans;tests positifs / réalisés;12-07-2020;1,41;443;"#ED9D1D"
10-19 ans;tests positifs / réalisés;19-07-2020;1,39;486;"#ED9D1D"
10-19 ans;tests positifs / réalisés;26-07-2020;1,68;717;"#EC9221"
10-19 ans;tests positifs / réalisés;02-08-2020;1,87;968;"#EC9221"
10-19 ans;tests positifs / réalisés;09-08-2020;2,4;1253;"#EC9221"
10-19 ans;tests positifs / réalisés;16-08-2020;3,45;1891;"#EB8626"
10-19 ans;tests positifs / réalisés;23-08-2020;4,13;3054;"#EB8626"
