date;positifs;tests;% positifs
24-05-2020;4593;243297;1,89
31-05-2020;3938;271723;1,45
07-06-2020;3161;217528;1,45
14-06-2020;3274;237940;1,38
21-06-2020;3535;237409;1,49
28-06-2020;3549;264338;1,34
05-07-2020;3760;333133;1,13
12-07-2020;3952;383112;1,03
19-07-2020;4460;402119;1,11
26-07-2020;6565;510881;1,29
02-08-2020;8429;591042;1,43
09-08-2020;11771;610018;1,93
16-08-2020;16972;628880;2,7
23-08-2020;27672;843324;3,28
30-08-2020;39043;1037861;3,76
06-09-2020;51927;1133742;4,58
13-09-2020;63703;1344874;4,74
20-09-2020;74546;1375991;5,42
27-09-2020;73095;1164834;6,28
04-10-2020;78928;1095913;7,2
11-10-2020;121463;1263122;9,62
18-10-2020;172959;1599268;10,81
25-10-2020;272830;1893478;14,41
01-11-2020;332726;2137559;15,57
08-11-2020;291910;2084760;14
15-11-2020;168826;1593519;10,59
22-11-2020;111135;1390751;7,99
29-11-2020;76565;1211039;6,32
06-12-2020;72449;1162131;6,23
13-12-2020;79907;1325931;6,03
20-12-2020;98356;2319249;4,24
27-12-2020;82475;2936876;2,81
03-01-2021;96816;1810302;5,35
10-01-2021;126538;1998929;6,33
17-01-2021;128709;1973869;6,52
24-01-2021;141313;2032073;6,95
31-01-2021;143965;2208116;6,52
07-02-2021;139853;2262593;6,18
14-02-2021;128589;2206848;5,83
21-02-2021;139664;2176626;6,42
28-02-2021;149899;2099529;7,14
07-03-2021;148507;2100243;7,07
14-03-2021;179133;2415027;7,42
21-03-2021;211728;2768903;7,65
28-03-2021;258911;3252055;7,96
04-04-2021;273971;3742920;7,32
11-04-2021;230240;2569997;8,96
