date;h1-hosp;h1-rea
22-03-2020;6954;1674
29-03-2020;19311;4592
05-04-2020;28747;6859
12-04-2020;31665;6714
19-04-2020;30486;5644
26-04-2020;28114;4598
03-05-2020;25739;3762
10-05-2020;22502;2728
17-05-2020;19302;2047
24-05-2020;17129;1618
31-05-2020;14271;1287
07-06-2020;12415;1024
14-06-2020;10836;841
21-06-2020;9778;687
28-06-2020;8727;594
05-07-2020;7863;521
12-07-2020;6991;473
19-07-2020;6583;448
26-07-2020;5640;367
02-08-2020;5188;345
09-08-2020;4992;368
16-08-2020;4820;353
23-08-2020;4683;371
30-08-2020;4517;396
06-09-2020;4697;480
13-09-2020;5228;662
20-09-2020;5356;834
27-09-2020;6235;1112
04-10-2020;6964;1335
11-10-2020;8231;1483
18-10-2020;10897;1939
25-10-2020;16454;2575
01-11-2020;24008;3569
08-11-2020;30217;4527
15-11-2020;33050;4880
22-11-2020;31522;4491
