date;rea/hosp
22-03-2020;24,1
29-03-2020;23,8
05-04-2020;23,9
12-04-2020;21,2
19-04-2020;18,5
26-04-2020;16,4
03-05-2020;14,6
10-05-2020;12,1
17-05-2020;10,6
24-05-2020;9,4
31-05-2020;9
07-06-2020;8,2
14-06-2020;7,8
21-06-2020;7
28-06-2020;6,8
05-07-2020;6,6
12-07-2020;6,8
19-07-2020;6,8
26-07-2020;6,5
02-08-2020;6,6
09-08-2020;7,4
16-08-2020;7,3
23-08-2020;7,9
30-08-2020;8,8
06-09-2020;10,2
13-09-2020;12,7
20-09-2020;15,6
27-09-2020;17,8
04-10-2020;19,2
11-10-2020;18
18-10-2020;17,8
25-10-2020;15,6
01-11-2020;14,9
08-11-2020;15
15-11-2020;14,8
22-11-2020;14,2
29-11-2020;13,2
06-12-2020;12,2
13-12-2020;11,4
20-12-2020;11
27-12-2020;10,8
03-01-2021;10,8
10-01-2021;10,7
17-01-2021;11
24-01-2021;11,2
31-01-2021;11,4
07-02-2021;11,8
