date;0-9 ans;10-19 ans;20-29 ans;30-39 ans;40-49 ans;50-59 ans;60-69 ans;70-79 ans;80-89 ans;>=90 ans
22-03-2020;3;3;17;72;142;338;471;518;153;8
29-03-2020;8;8;44;156;367;991;1420;1293;240;7
05-04-2020;25;18;63;218;584;1505;2231;1840;288;15
12-04-2020;18;20;56;213;537;1433;2249;1820;285;15
19-04-2020;24;18;52;174;438;1138;1832;1630;285;24
26-04-2020;20;19;49;119;336;909;1486;1341;250;28
03-05-2020;22;26;51;92;274;723;1213;1087;220;25
10-05-2020;12;18;29;66;195;533;864;806;162;21
17-05-2020;8;13;28;49;145;395;639;608;130;21
24-05-2020;9;14;26;40;106;301;505;488;108;11
31-05-2020;7;8;24;32;87;236;401;394;78;13
07-06-2020;8;6;19;24;73;194;317;307;62;8
14-06-2020;5;6;17;29;55;160;251;246;60;7
21-06-2020;1;6;15;24;43;123;220;193;51;8
28-06-2020;1;5;12;23;42;114;193;150;45;6
05-07-2020;2;4;12;20;35;100;170;129;39;6
12-07-2020;4;2;8;23;31;97;132;126;40;7
19-07-2020;4;3;10;20;26;95;127;112;41;6
26-07-2020;3;1;4;16;27;66;107;99;36;5
02-08-2020;3;1;3;15;21;57;106;94;37;5
09-08-2020;6;3;4;18;17;58;119;98;37;6
16-08-2020;5;1;6;15;21;50;111;100;39;4
23-08-2020;4;2;6;19;27;56;104;103;43;6
30-08-2020;6;1;4;13;27;63;112;116;49;3
06-09-2020;6;3;7;18;39;71;143;134;56;2
