name;category;date;y;z;color
0-9 ans;soins intensifs & réanimations;22-03-2020;8;3;"#f1c40f"
0-9 ans;soins intensifs & réanimations;29-03-2020;57;8;"#F0B813"
0-9 ans;soins intensifs & réanimations;05-04-2020;100;25;"#F0B813"
0-9 ans;soins intensifs & réanimations;12-04-2020;89;18;"#F0B813"
0-9 ans;soins intensifs & réanimations;19-04-2020;97;24;"#F0B813"
0-9 ans;soins intensifs & réanimations;26-04-2020;92;20;"#EEA918"
0-9 ans;soins intensifs & réanimations;03-05-2020;95;22;"#EEA918"
0-9 ans;soins intensifs & réanimations;10-05-2020;76;12;"#EEA918"
0-9 ans;soins intensifs & réanimations;17-05-2020;57;8;"#EEA918"
0-9 ans;soins intensifs & réanimations;24-05-2020;68;9;"#EEA918"
0-9 ans;soins intensifs & réanimations;31-05-2020;51;7;"#ED9D1D"
0-9 ans;soins intensifs & réanimations;07-06-2020;57;8;"#ED9D1D"
0-9 ans;soins intensifs & réanimations;14-06-2020;30;5;"#ED9D1D"
0-9 ans;soins intensifs & réanimations;21-06-2020;0;1;"#EC9221"
0-9 ans;soins intensifs & réanimations;28-06-2020;0;1;"#EC9221"
0-9 ans;soins intensifs & réanimations;05-07-2020;5;2;"#EC9221"
0-9 ans;soins intensifs & réanimations;12-07-2020;16;4;"#EC9221"
0-9 ans;soins intensifs & réanimations;19-07-2020;16;4;"#EB8626"
0-9 ans;soins intensifs & réanimations;26-07-2020;8;3;"#EB8626"
0-9 ans;soins intensifs & réanimations;02-08-2020;8;3;"#EB8626"
0-9 ans;soins intensifs & réanimations;09-08-2020;41;6;"#EB8626"
0-9 ans;soins intensifs & réanimations;16-08-2020;30;5;"#EA7A2A"
0-9 ans;soins intensifs & réanimations;23-08-2020;16;4;"#EA7A2A"
0-9 ans;soins intensifs & réanimations;30-08-2020;41;6;"#EA7A2A"
0-9 ans;soins intensifs & réanimations;06-09-2020;41;6;"#EA7A2A"
0-9 ans;soins intensifs & réanimations;13-09-2020;16;4;"#E96F2E"
0-9 ans;soins intensifs & réanimations;20-09-2020;41;6;"#E96F2E"
0-9 ans;soins intensifs & réanimations;27-09-2020;57;8;"#E96F2E"
0-9 ans;soins intensifs & réanimations;04-10-2020;30;5;"#E96F2E"
0-9 ans;soins intensifs & réanimations;11-10-2020;16;4;"#E86333"
0-9 ans;soins intensifs & réanimations;18-10-2020;70;10;"#E86333"
0-9 ans;soins intensifs & réanimations;25-10-2020;81;15;"#E86333"
0-9 ans;soins intensifs & réanimations;01-11-2020;84;17;"#E86333"
0-9 ans;soins intensifs & réanimations;08-11-2020;84;17;"#E75737"
0-9 ans;soins intensifs & réanimations;15-11-2020;78;14;"#E75737"
0-9 ans;soins intensifs & réanimations;22-11-2020;73;11;"#E75737"
0-9 ans;soins intensifs & réanimations;29-11-2020;30;5;"#ffffff"
0-9 ans;soins intensifs & réanimations;06-12-2020;51;7;"#3498db"
10-19 ans;soins intensifs & réanimations;22-03-2020;24;3;"#f1c40f"
10-19 ans;soins intensifs & réanimations;29-03-2020;59;8;"#F0B813"
10-19 ans;soins intensifs & réanimations;05-04-2020;86;18;"#F0B813"
10-19 ans;soins intensifs & réanimations;12-04-2020;97;20;"#F0B813"
10-19 ans;soins intensifs & réanimations;19-04-2020;86;18;"#F0B813"
10-19 ans;soins intensifs & réanimations;26-04-2020;95;19;"#EEA918"
10-19 ans;soins intensifs & réanimations;03-05-2020;100;26;"#EEA918"
10-19 ans;soins intensifs & réanimations;10-05-2020;86;18;"#EEA918"
10-19 ans;soins intensifs & réanimations;17-05-2020;76;13;"#EEA918"
10-19 ans;soins intensifs & réanimations;24-05-2020;81;14;"#EEA918"
10-19 ans;soins intensifs & réanimations;31-05-2020;59;8;"#ED9D1D"
10-19 ans;soins intensifs & réanimations;07-06-2020;46;6;"#ED9D1D"
10-19 ans;soins intensifs & réanimations;14-06-2020;46;6;"#ED9D1D"
10-19 ans;soins intensifs & réanimations;21-06-2020;46;6;"#EC9221"
10-19 ans;soins intensifs & réanimations;28-06-2020;43;5;"#EC9221"
10-19 ans;soins intensifs & réanimations;05-07-2020;35;4;"#EC9221"
10-19 ans;soins intensifs & réanimations;12-07-2020;19;2;"#EC9221"
10-19 ans;soins intensifs & réanimations;19-07-2020;24;3;"#EB8626"
10-19 ans;soins intensifs & réanimations;26-07-2020;0;1;"#EB8626"
10-19 ans;soins intensifs & réanimations;02-08-2020;0;1;"#EB8626"
10-19 ans;soins intensifs & réanimations;09-08-2020;24;3;"#EB8626"
10-19 ans;soins intensifs & réanimations;16-08-2020;0;1;"#EA7A2A"
10-19 ans;soins intensifs & réanimations;23-08-2020;19;2;"#EA7A2A"
10-19 ans;soins intensifs & réanimations;30-08-2020;0;1;"#EA7A2A"
10-19 ans;soins intensifs & réanimations;06-09-2020;24;3;"#EA7A2A"
10-19 ans;soins intensifs & réanimations;13-09-2020;0;1;"#E96F2E"
10-19 ans;soins intensifs & réanimations;20-09-2020;0;1;"#E96F2E"
10-19 ans;soins intensifs & réanimations;27-09-2020;0;1;"#E96F2E"
10-19 ans;soins intensifs & réanimations;04-10-2020;35;4;"#E96F2E"
10-19 ans;soins intensifs & réanimations;11-10-2020;35;4;"#E86333"
10-19 ans;soins intensifs & réanimations;18-10-2020;59;8;"#E86333"
10-19 ans;soins intensifs & réanimations;25-10-2020;68;9;"#E86333"
10-19 ans;soins intensifs & réanimations;01-11-2020;46;6;"#E86333"
10-19 ans;soins intensifs & réanimations;08-11-2020;57;7;"#E75737"
10-19 ans;soins intensifs & réanimations;15-11-2020;68;9;"#E75737"
10-19 ans;soins intensifs & réanimations;22-11-2020;73;11;"#E75737"
10-19 ans;soins intensifs & réanimations;29-11-2020;84;15;"#ffffff"
10-19 ans;soins intensifs & réanimations;06-12-2020;76;13;"#3498db"
20-29 ans;soins intensifs & réanimations;22-03-2020;54;17;"#f1c40f"
20-29 ans;soins intensifs & réanimations;29-03-2020;86;44;"#F0B813"
20-29 ans;soins intensifs & réanimations;05-04-2020;100;63;"#F0B813"
20-29 ans;soins intensifs & réanimations;12-04-2020;97;56;"#F0B813"
20-29 ans;soins intensifs & réanimations;19-04-2020;95;52;"#F0B813"
20-29 ans;soins intensifs & réanimations;26-04-2020;89;49;"#EEA918"
20-29 ans;soins intensifs & réanimations;03-05-2020;92;51;"#EEA918"
20-29 ans;soins intensifs & réanimations;10-05-2020;84;29;"#EEA918"
20-29 ans;soins intensifs & réanimations;17-05-2020;78;28;"#EEA918"
20-29 ans;soins intensifs & réanimations;24-05-2020;73;26;"#EEA918"
20-29 ans;soins intensifs & réanimations;31-05-2020;68;24;"#ED9D1D"
20-29 ans;soins intensifs & réanimations;07-06-2020;59;19;"#ED9D1D"
20-29 ans;soins intensifs & réanimations;14-06-2020;54;17;"#ED9D1D"
20-29 ans;soins intensifs & réanimations;21-06-2020;49;15;"#EC9221"
20-29 ans;soins intensifs & réanimations;28-06-2020;35;12;"#EC9221"
20-29 ans;soins intensifs & réanimations;05-07-2020;35;12;"#EC9221"
20-29 ans;soins intensifs & réanimations;12-07-2020;27;8;"#EC9221"
20-29 ans;soins intensifs & réanimations;19-07-2020;32;10;"#EB8626"
20-29 ans;soins intensifs & réanimations;26-07-2020;3;4;"#EB8626"
20-29 ans;soins intensifs & réanimations;02-08-2020;0;3;"#EB8626"
20-29 ans;soins intensifs & réanimations;09-08-2020;3;4;"#EB8626"
20-29 ans;soins intensifs & réanimations;16-08-2020;11;6;"#EA7A2A"
20-29 ans;soins intensifs & réanimations;23-08-2020;11;6;"#EA7A2A"
20-29 ans;soins intensifs & réanimations;30-08-2020;3;4;"#EA7A2A"
20-29 ans;soins intensifs & réanimations;06-09-2020;16;7;"#EA7A2A"
20-29 ans;soins intensifs & réanimations;13-09-2020;16;7;"#E96F2E"
20-29 ans;soins intensifs & réanimations;20-09-2020;16;7;"#E96F2E"
20-29 ans;soins intensifs & réanimations;27-09-2020;35;12;"#E96F2E"
20-29 ans;soins intensifs & réanimations;04-10-2020;46;13;"#E96F2E"
20-29 ans;soins intensifs & réanimations;11-10-2020;30;9;"#E86333"
20-29 ans;soins intensifs & réanimations;18-10-2020;16;7;"#E86333"
