name;category;date;y;z;color
0-9 ans;tests positifs / réalisés;17-05-2020;13;1,02;"#f1c40f"
0-9 ans;tests positifs / réalisés;24-05-2020;16;1,06;"#F0B813"
0-9 ans;tests positifs / réalisés;31-05-2020;10;0,98;"#F0B813"
0-9 ans;tests positifs / réalisés;07-06-2020;19;1,07;"#F0B813"
0-9 ans;tests positifs / réalisés;14-06-2020;32;1,72;"#EEA918"
0-9 ans;tests positifs / réalisés;21-06-2020;35;1,89;"#EEA918"
0-9 ans;tests positifs / réalisés;28-06-2020;26;1,2;"#EEA918"
0-9 ans;tests positifs / réalisés;05-07-2020;0;0,74;"#EEA918"
0-9 ans;tests positifs / réalisés;12-07-2020;0;0,74;"#ED9D1D"
0-9 ans;tests positifs / réalisés;19-07-2020;6;0,96;"#ED9D1D"
0-9 ans;tests positifs / réalisés;26-07-2020;23;1,16;"#ED9D1D"
0-9 ans;tests positifs / réalisés;02-08-2020;29;1,34;"#EC9221"
0-9 ans;tests positifs / réalisés;09-08-2020;39;1,99;"#EC9221"
0-9 ans;tests positifs / réalisés;16-08-2020;45;2,47;"#EC9221"
0-9 ans;tests positifs / réalisés;23-08-2020;52;2,97;"#EB8626"
0-9 ans;tests positifs / réalisés;30-08-2020;55;3,69;"#EB8626"
0-9 ans;tests positifs / réalisés;06-09-2020;58;4,07;"#EB8626"
0-9 ans;tests positifs / réalisés;13-09-2020;42;2,39;"#EB8626"
0-9 ans;tests positifs / réalisés;20-09-2020;48;2,78;"#EA7A2A"
0-9 ans;tests positifs / réalisés;27-09-2020;65;4,34;"#EA7A2A"
0-9 ans;tests positifs / réalisés;04-10-2020;68;5,89;"#EA7A2A"
0-9 ans;tests positifs / réalisés;11-10-2020;81;7,99;"#E96F2E"
0-9 ans;tests positifs / réalisés;18-10-2020;84;8,15;"#E96F2E"
0-9 ans;tests positifs / réalisés;25-10-2020;90;10,05;"#E96F2E"
0-9 ans;tests positifs / réalisés;01-11-2020;97;12,74;"#E96F2E"
0-9 ans;tests positifs / réalisés;08-11-2020;100;13,14;"#E86333"
0-9 ans;tests positifs / réalisés;15-11-2020;94;10,71;"#E86333"
0-9 ans;tests positifs / réalisés;22-11-2020;87;9,09;"#E86333"
0-9 ans;tests positifs / réalisés;29-11-2020;71;7,09;"#E75737"
0-9 ans;tests positifs / réalisés;06-12-2020;77;7,77;"#E75737"
0-9 ans;tests positifs / réalisés;13-12-2020;74;7,17;"#ffffff"
0-9 ans;tests positifs / réalisés;20-12-2020;61;4,33;"#3498db"
10-19 ans;tests positifs / réalisés;17-05-2020;29;1,82;"#f1c40f"
10-19 ans;tests positifs / réalisés;24-05-2020;32;1,97;"#F0B813"
10-19 ans;tests positifs / réalisés;31-05-2020;16;1,67;"#F0B813"
10-19 ans;tests positifs / réalisés;07-06-2020;10;1,42;"#F0B813"
10-19 ans;tests positifs / réalisés;14-06-2020;23;1,76;"#EEA918"
