name;category;date;y;z;color
0-9 ans;tests positifs / réalisés;17-05-2020;6;1,03;"#f1c40f"
0-9 ans;tests positifs / réalisés;24-05-2020;7;1,08;"#F0B813"
0-9 ans;tests positifs / réalisés;31-05-2020;6;0,95;"#F0B813"
0-9 ans;tests positifs / réalisés;07-06-2020;7;1,04;"#F0B813"
0-9 ans;tests positifs / réalisés;14-06-2020;11;1,74;"#EEA918"
0-9 ans;tests positifs / réalisés;21-06-2020;12;1,94;"#EEA918"
0-9 ans;tests positifs / réalisés;28-06-2020;8;1,24;"#EEA918"
0-9 ans;tests positifs / réalisés;05-07-2020;5;0,76;"#ED9D1D"
0-9 ans;tests positifs / réalisés;12-07-2020;5;0,77;"#ED9D1D"
0-9 ans;tests positifs / réalisés;19-07-2020;6;1;"#ED9D1D"
0-9 ans;tests positifs / réalisés;26-07-2020;8;1,21;"#EC9221"
0-9 ans;tests positifs / réalisés;02-08-2020;9;1,41;"#EC9221"
0-9 ans;tests positifs / réalisés;09-08-2020;13;2,11;"#EC9221"
0-9 ans;tests positifs / réalisés;16-08-2020;17;2,66;"#EB8626"
0-9 ans;tests positifs / réalisés;23-08-2020;20;3,2;"#EB8626"
0-9 ans;tests positifs / réalisés;30-08-2020;25;4,01;"#EB8626"
0-9 ans;tests positifs / réalisés;06-09-2020;27;4,38;"#EA7A2A"
0-9 ans;tests positifs / réalisés;13-09-2020;16;2,54;"#EA7A2A"
0-9 ans;tests positifs / réalisés;20-09-2020;19;3;"#EA7A2A"
0-9 ans;tests positifs / réalisés;27-09-2020;31;4,87;"#E96F2E"
0-9 ans;tests positifs / réalisés;04-10-2020;42;6,77;"#E96F2E"
0-9 ans;tests positifs / réalisés;11-10-2020;58;9,23;"#E96F2E"
0-9 ans;tests positifs / réalisés;18-10-2020;60;9,5;"#E86333"
0-9 ans;tests positifs / réalisés;25-10-2020;74;11,89;"#E86333"
0-9 ans;tests positifs / réalisés;01-11-2020;96;15,27;"#E86333"
0-9 ans;tests positifs / réalisés;08-11-2020;100;15,96;"#E75737"
0-9 ans;tests positifs / réalisés;15-11-2020;86;13,67;"#E75737"
0-9 ans;tests positifs / réalisés;22-11-2020;75;11,98;"#ffffff"
0-9 ans;tests positifs / réalisés;29-11-2020;58;9,24;"#3498db"
10-19 ans;tests positifs / réalisés;17-05-2020;9;1,86;"#f1c40f"
10-19 ans;tests positifs / réalisés;24-05-2020;9;2;"#F0B813"
10-19 ans;tests positifs / réalisés;31-05-2020;8;1,7;"#F0B813"
10-19 ans;tests positifs / réalisés;07-06-2020;7;1,41;"#F0B813"
10-19 ans;tests positifs / réalisés;14-06-2020;8;1,76;"#EEA918"
10-19 ans;tests positifs / réalisés;21-06-2020;10;2,22;"#EEA918"
10-19 ans;tests positifs / réalisés;28-06-2020;9;1,87;"#EEA918"
10-19 ans;tests positifs / réalisés;05-07-2020;6;1,35;"#ED9D1D"
10-19 ans;tests positifs / réalisés;12-07-2020;7;1,41;"#ED9D1D"
10-19 ans;tests positifs / réalisés;19-07-2020;6;1,39;"#ED9D1D"
10-19 ans;tests positifs / réalisés;26-07-2020;8;1,68;"#EC9221"
10-19 ans;tests positifs / réalisés;02-08-2020;9;1,87;"#EC9221"
10-19 ans;tests positifs / réalisés;09-08-2020;11;2,4;"#EC9221"
10-19 ans;tests positifs / réalisés;16-08-2020;16;3,45;"#EB8626"
10-19 ans;tests positifs / réalisés;23-08-2020;19;4,13;"#EB8626"
10-19 ans;tests positifs / réalisés;30-08-2020;24;5,19;"#EB8626"
10-19 ans;tests positifs / réalisés;06-09-2020;36;7,62;"#EA7A2A"
10-19 ans;tests positifs / réalisés;13-09-2020;29;6,19;"#EA7A2A"
10-19 ans;tests positifs / réalisés;20-09-2020;27;5,85;"#EA7A2A"
10-19 ans;tests positifs / réalisés;27-09-2020;32;6,85;"#E96F2E"
10-19 ans;tests positifs / réalisés;04-10-2020;38;8,17;"#E96F2E"
10-19 ans;tests positifs / réalisés;11-10-2020;48;10,34;"#E96F2E"
10-19 ans;tests positifs / réalisés;18-10-2020;51;11;"#E86333"
10-19 ans;tests positifs / réalisés;25-10-2020;74;15,94;"#E86333"
10-19 ans;tests positifs / réalisés;01-11-2020;100;21,43;"#E86333"
10-19 ans;tests positifs / réalisés;08-11-2020;95;20,31;"#E75737"
10-19 ans;tests positifs / réalisés;15-11-2020;68;14,67;"#E75737"
10-19 ans;tests positifs / réalisés;22-11-2020;57;12,27;"#ffffff"
10-19 ans;tests positifs / réalisés;29-11-2020;51;11,01;"#3498db"
20-29 ans;tests positifs / réalisés;17-05-2020;11;2,28;"#f1c40f"
20-29 ans;tests positifs / réalisés;24-05-2020;9;1,86;"#F0B813"
20-29 ans;tests positifs / réalisés;31-05-2020;9;1,8;"#F0B813"
20-29 ans;tests positifs / réalisés;07-06-2020;9;1,74;"#F0B813"
20-29 ans;tests positifs / réalisés;14-06-2020;9;1,91;"#EEA918"
20-29 ans;tests positifs / réalisés;21-06-2020;11;2,23;"#EEA918"
20-29 ans;tests positifs / réalisés;28-06-2020;11;2,28;"#EEA918"
20-29 ans;tests positifs / réalisés;05-07-2020;9;1,88;"#ED9D1D"
20-29 ans;tests positifs / réalisés;12-07-2020;8;1,69;"#ED9D1D"
20-29 ans;tests positifs / réalisés;19-07-2020;8;1,6;"#ED9D1D"
20-29 ans;tests positifs / réalisés;26-07-2020;10;2,07;"#EC9221"
20-29 ans;tests positifs / réalisés;02-08-2020;13;2,64;"#EC9221"
20-29 ans;tests positifs / réalisés;09-08-2020;18;3,58;"#EC9221"
