name;category;date;y;z;color
0-9 ans;tests positifs / réalisés;17-05-2020;1,06;65;"#F0B813"
0-9 ans;tests positifs / réalisés;24-05-2020;1,07;125;"#F0B813"
0-9 ans;tests positifs / réalisés;31-05-2020;0,95;129;"#EEA918"
0-9 ans;tests positifs / réalisés;07-06-2020;1,01;105;"#EEA918"
0-9 ans;tests positifs / réalisés;14-06-2020;1,45;160;"#ED9D1D"
0-9 ans;tests positifs / réalisés;21-06-2020;1,83;209;"#ED9D1D"
0-9 ans;tests positifs / réalisés;28-06-2020;1,22;210;"#ED9D1D"
0-9 ans;tests positifs / réalisés;05-07-2020;0,75;247;"#EC9221"
0-9 ans;tests positifs / réalisés;12-07-2020;0,77;268;"#EC9221"
0-9 ans;tests positifs / réalisés;19-07-2020;1;260;"#EB8626"
0-9 ans;tests positifs / réalisés;26-07-2020;1,2;327;"#EB8626"
0-9 ans;tests positifs / réalisés;02-08-2020;1,39;360;"#EA7A2A"
0-9 ans;tests positifs / réalisés;09-08-2020;2,1;488;"#EA7A2A"
0-9 ans;tests positifs / réalisés;16-08-2020;2,65;590;"#EA7A2A"
0-9 ans;tests positifs / réalisés;23-08-2020;3,18;822;"#E96F2E"
0-9 ans;tests positifs / réalisés;30-08-2020;3,99;1230;"#E96F2E"
0-9 ans;tests positifs / réalisés;06-09-2020;4,35;1900;"#E86333"
0-9 ans;tests positifs / réalisés;13-09-2020;2,53;2960;"#E86333"
0-9 ans;tests positifs / réalisés;20-09-2020;2,98;2727;"#E75737"
0-9 ans;tests positifs / réalisés;27-09-2020;4,81;1770;"#ffffff"
0-9 ans;tests positifs / réalisés;04-10-2020;6,7;1699;"#3498db"
10-19 ans;tests positifs / réalisés;17-05-2020;1,84;128;"#F0B813"
10-19 ans;tests positifs / réalisés;24-05-2020;1,87;233;"#F0B813"
10-19 ans;tests positifs / réalisés;31-05-2020;1,65;268;"#EEA918"
10-19 ans;tests positifs / réalisés;07-06-2020;1,31;172;"#EEA918"
10-19 ans;tests positifs / réalisés;14-06-2020;1,51;220;"#ED9D1D"
10-19 ans;tests positifs / réalisés;21-06-2020;1,99;303;"#ED9D1D"
10-19 ans;tests positifs / réalisés;28-06-2020;1,84;367;"#ED9D1D"
10-19 ans;tests positifs / réalisés;05-07-2020;1,32;384;"#EC9221"
10-19 ans;tests positifs / réalisés;12-07-2020;1,38;440;"#EC9221"
10-19 ans;tests positifs / réalisés;19-07-2020;1,37;478;"#EB8626"
10-19 ans;tests positifs / réalisés;26-07-2020;1,67;715;"#EB8626"
10-19 ans;tests positifs / réalisés;02-08-2020;1,85;961;"#EA7A2A"
10-19 ans;tests positifs / réalisés;09-08-2020;2,37;1246;"#EA7A2A"
10-19 ans;tests positifs / réalisés;16-08-2020;3,41;1889;"#EA7A2A"
10-19 ans;tests positifs / réalisés;23-08-2020;4,06;3043;"#E96F2E"
10-19 ans;tests positifs / réalisés;30-08-2020;5,1;4591;"#E96F2E"
10-19 ans;tests positifs / réalisés;06-09-2020;7,48;6746;"#E86333"
10-19 ans;tests positifs / réalisés;13-09-2020;6,09;8922;"#E86333"
10-19 ans;tests positifs / réalisés;20-09-2020;5,74;11381;"#E75737"
10-19 ans;tests positifs / réalisés;27-09-2020;6,71;10609;"#ffffff"
10-19 ans;tests positifs / réalisés;04-10-2020;7,99;10709;"#3498db"
20-29 ans;tests positifs / réalisés;17-05-2020;2,25;405;"#F0B813"
20-29 ans;tests positifs / réalisés;24-05-2020;1,79;516;"#F0B813"
20-29 ans;tests positifs / réalisés;31-05-2020;1,76;562;"#EEA918"
20-29 ans;tests positifs / réalisés;07-06-2020;1,68;411;"#EEA918"
20-29 ans;tests positifs / réalisés;14-06-2020;1,75;458;"#ED9D1D"
20-29 ans;tests positifs / réalisés;21-06-2020;1,98;491;"#ED9D1D"
20-29 ans;tests positifs / réalisés;28-06-2020;2,22;635;"#ED9D1D"
20-29 ans;tests positifs / réalisés;05-07-2020;1,84;659;"#EC9221"
20-29 ans;tests positifs / réalisés;12-07-2020;1,65;726;"#EC9221"
20-29 ans;tests positifs / réalisés;19-07-2020;1,57;815;"#EB8626"
20-29 ans;tests positifs / réalisés;26-07-2020;2,03;1452;"#EB8626"
20-29 ans;tests positifs / réalisés;02-08-2020;2,59;2291;"#EA7A2A"
20-29 ans;tests positifs / réalisés;09-08-2020;3,5;3372;"#EA7A2A"
20-29 ans;tests positifs / réalisés;16-08-2020;4,92;5164;"#EA7A2A"
20-29 ans;tests positifs / réalisés;23-08-2020;6,27;9371;"#E96F2E"
20-29 ans;tests positifs / réalisés;30-08-2020;7,26;13010;"#E96F2E"
20-29 ans;tests positifs / réalisés;06-09-2020;8,13;15711;"#E86333"
20-29 ans;tests positifs / réalisés;13-09-2020;8,6;17021;"#E86333"
20-29 ans;tests positifs / réalisés;20-09-2020;9,82;19312;"#E75737"
20-29 ans;tests positifs / réalisés;27-09-2020;10,87;19006;"#ffffff"
20-29 ans;tests positifs / réalisés;04-10-2020;11,89;19242;"#3498db"
30-39 ans;tests positifs / réalisés;17-05-2020;1,84;391;"#F0B813"
30-39 ans;tests positifs / réalisés;24-05-2020;1,51;492;"#F0B813"
30-39 ans;tests positifs / réalisés;31-05-2020;1,38;478;"#EEA918"
30-39 ans;tests positifs / réalisés;07-06-2020;1,61;423;"#EEA918"
30-39 ans;tests positifs / réalisés;14-06-2020;1,63;467;"#ED9D1D"
30-39 ans;tests positifs / réalisés;21-06-2020;2,15;595;"#ED9D1D"
30-39 ans;tests positifs / réalisés;28-06-2020;2,04;643;"#ED9D1D"
30-39 ans;tests positifs / réalisés;05-07-2020;1,62;679;"#EC9221"
30-39 ans;tests positifs / réalisés;12-07-2020;1,21;672;"#EC9221"
30-39 ans;tests positifs / réalisés;19-07-2020;1,38;824;"#EB8626"
30-39 ans;tests positifs / réalisés;26-07-2020;1,54;1160;"#EB8626"
30-39 ans;tests positifs / réalisés;02-08-2020;1,76;1523;"#EA7A2A"
