date;positifs;tests;% positifs
24-05-2020;4592;243218;1,89
31-05-2020;3935;271568;1,45
07-06-2020;3161;217530;1,45
14-06-2020;3274;237917;1,38
21-06-2020;3535;237343;1,49
28-06-2020;3549;264255;1,34
05-07-2020;3760;333038;1,13
12-07-2020;3950;383074;1,03
19-07-2020;4459;402061;1,11
26-07-2020;6564;510850;1,28
02-08-2020;8428;590994;1,43
09-08-2020;11771;609836;1,93
16-08-2020;16971;628823;2,7
23-08-2020;27670;843024;3,28
30-08-2020;39039;1037704;3,76
06-09-2020;51922;1133657;4,58
13-09-2020;63700;1344776;4,74
20-09-2020;74544;1375792;5,42
27-09-2020;73087;1164672;6,28
04-10-2020;78923;1095800;7,2
11-10-2020;121445;1262950;9,62
18-10-2020;172936;1598739;10,82
25-10-2020;272786;1893056;14,41
01-11-2020;332680;2137083;15,57
08-11-2020;291746;2082452;14,01
15-11-2020;168599;1591003;10,6
22-11-2020;111048;1388980;7,99
29-11-2020;76514;1209551;6,33
06-12-2020;72360;1159479;6,24
13-12-2020;79755;1321878;6,03
20-12-2020;93681;2158822;4,34
