name;category;date;y;z;color
0-9 ans;soins intensifs & réanimations;22-03-2020;15;3;"#F0B813"
0-9 ans;soins intensifs & réanimations;29-03-2020;55;8;"#F0B813"
0-9 ans;soins intensifs & réanimations;05-04-2020;100;25;"#EEA918"
0-9 ans;soins intensifs & réanimations;12-04-2020;80;18;"#EEA918"
0-9 ans;soins intensifs & réanimations;19-04-2020;95;24;"#ED9D1D"
0-9 ans;soins intensifs & réanimations;26-04-2020;85;20;"#ED9D1D"
0-9 ans;soins intensifs & réanimations;03-05-2020;90;22;"#ED9D1D"
0-9 ans;soins intensifs & réanimations;10-05-2020;75;12;"#EC9221"
0-9 ans;soins intensifs & réanimations;17-05-2020;55;8;"#EC9221"
0-9 ans;soins intensifs & réanimations;24-05-2020;70;9;"#EB8626"
0-9 ans;soins intensifs & réanimations;31-05-2020;50;7;"#EB8626"
0-9 ans;soins intensifs & réanimations;07-06-2020;55;8;"#EA7A2A"
0-9 ans;soins intensifs & réanimations;14-06-2020;40;5;"#EA7A2A"
0-9 ans;soins intensifs & réanimations;21-06-2020;0;1;"#EA7A2A"
0-9 ans;soins intensifs & réanimations;28-06-2020;0;1;"#E96F2E"
0-9 ans;soins intensifs & réanimations;05-07-2020;10;2;"#E96F2E"
0-9 ans;soins intensifs & réanimations;12-07-2020;30;4;"#E86333"
0-9 ans;soins intensifs & réanimations;19-07-2020;30;4;"#E86333"
0-9 ans;soins intensifs & réanimations;26-07-2020;15;3;"#E75737"
0-9 ans;soins intensifs & réanimations;02-08-2020;15;3;"#ffffff"
0-9 ans;soins intensifs & réanimations;09-08-2020;45;6;"#3498db"
10-19 ans;soins intensifs & réanimations;22-03-2020;15;3;"#F0B813"
10-19 ans;soins intensifs & réanimations;29-03-2020;55;8;"#F0B813"
10-19 ans;soins intensifs & réanimations;05-04-2020;75;18;"#EEA918"
10-19 ans;soins intensifs & réanimations;12-04-2020;95;20;"#EEA918"
10-19 ans;soins intensifs & réanimations;19-04-2020;75;18;"#ED9D1D"
10-19 ans;soins intensifs & réanimations;26-04-2020;90;19;"#ED9D1D"
10-19 ans;soins intensifs & réanimations;03-05-2020;100;26;"#ED9D1D"
10-19 ans;soins intensifs & réanimations;10-05-2020;75;18;"#EC9221"
10-19 ans;soins intensifs & réanimations;17-05-2020;65;13;"#EC9221"
10-19 ans;soins intensifs & réanimations;24-05-2020;70;14;"#EB8626"
10-19 ans;soins intensifs & réanimations;31-05-2020;55;8;"#EB8626"
10-19 ans;soins intensifs & réanimations;07-06-2020;40;6;"#EA7A2A"
10-19 ans;soins intensifs & réanimations;14-06-2020;40;6;"#EA7A2A"
10-19 ans;soins intensifs & réanimations;21-06-2020;40;6;"#EA7A2A"
10-19 ans;soins intensifs & réanimations;28-06-2020;35;5;"#E96F2E"
10-19 ans;soins intensifs & réanimations;05-07-2020;30;4;"#E96F2E"
10-19 ans;soins intensifs & réanimations;12-07-2020;10;2;"#E86333"
10-19 ans;soins intensifs & réanimations;19-07-2020;15;3;"#E86333"
10-19 ans;soins intensifs & réanimations;26-07-2020;0;1;"#E75737"
10-19 ans;soins intensifs & réanimations;02-08-2020;0;1;"#ffffff"
10-19 ans;soins intensifs & réanimations;09-08-2020;15;3;"#3498db"
20-29 ans;soins intensifs & réanimations;22-03-2020;40;17;"#F0B813"
20-29 ans;soins intensifs & réanimations;29-03-2020;75;44;"#F0B813"
20-29 ans;soins intensifs & réanimations;05-04-2020;100;63;"#EEA918"
20-29 ans;soins intensifs & réanimations;12-04-2020;95;56;"#EEA918"
